epoch 001 | train loss 1.0971 | val acc 0.7826 | val nll 0.5805 | val ece 0.0443
epoch 002 | train loss 0.5583 | val acc 0.8366 | val nll 0.4632 | val ece 0.0423
epoch 003 | train loss 0.4672 | val acc 0.8489 | val nll 0.4320 | val ece 0.0431
epoch 004 | train loss 0.4173 | val acc 0.8645 | val nll 0.3875 | val ece 0.0358
epoch 005 | train loss 0.3811 | val acc 0.8713 | val nll 0.3614 | val ece 0.0327
epoch 006 | train loss 0.3527 | val acc 0.8674 | val nll 0.3681 | val ece 0.0366
epoch 007 | train loss 0.3404 | val acc 0.8784 | val nll 0.3412 | val ece 0.0342
epoch 008 | train loss 0.3193 | val acc 0.8820 | val nll 0.3365 | val ece 0.0340
epoch 009 | train loss 0.3016 | val acc 0.8819 | val nll 0.3393 | val ece 0.0361
epoch 010 | train loss 0.2943 | val acc 0.8849 | val nll 0.3242 | val ece 0.0364
epoch 011 | train loss 0.2807 | val acc 0.8905 | val nll 0.3117 | val ece 0.0340
epoch 012 | train loss 0.2703 | val acc 0.8909 | val nll 0.3114 | val ece 0.0318
epoch 013 | train loss 0.2612 | val acc 0.8896 | val nll 0.3187 | val ece 0.0357
epoch 014 | train loss 0.2564 | val acc 0.8953 | val nll 0.2982 | val ece 0.0313
epoch 015 | train loss 0.2472 | val acc 0.8958 | val nll 0.2999 | val ece 0.0337
epoch 016 | train loss 0.2386 | val acc 0.8983 | val nll 0.2884 | val ece 0.0328
epoch 017 | train loss 0.2316 | val acc 0.8991 | val nll 0.2835 | val ece 0.0312
epoch 018 | train loss 0.2252 | val acc 0.8987 | val nll 0.2899 | val ece 0.0331
epoch 019 | train loss 0.2231 | val acc 0.8965 | val nll 0.2882 | val ece 0.0315
epoch 020 | train loss 0.2127 | val acc 0.9019 | val nll 0.2733 | val ece 0.0308
epoch 021 | train loss 0.2072 | val acc 0.9027 | val nll 0.2747 | val ece 0.0315
epoch 022 | train loss 0.2044 | val acc 0.9014 | val nll 0.2820 | val ece 0.0348
epoch 023 | train loss 0.2011 | val acc 0.9026 | val nll 0.2718 | val ece 0.0328
epoch 024 | train loss 0.1967 | val acc 0.9047 | val nll 0.2758 | val ece 0.0333
epoch 025 | train loss 0.1955 | val acc 0.9034 | val nll 0.2774 | val ece 0.0368
epoch 026 | train loss 0.1897 | val acc 0.9055 | val nll 0.2706 | val ece 0.0317
epoch 027 | train loss 0.1856 | val acc 0.9070 | val nll 0.2656 | val ece 0.0323
epoch 028 | train loss 0.1787 | val acc 0.9080 | val nll 0.2666 | val ece 0.0333
